fencer_id,first_name,last_name,full_name,dob,gender,weapon,club_id,email,phone,bracket
46,Mary,Pratt,Mary Pratt,2016-12-20,F,Foil,2,jasonray@example.org,001-790-940-9950,U11
47,Sierra,Williams,Sierra Williams,2015-08-09,F,Foil,2,summersdavid@example.net,(795)840-2562x62157,U11
48,Sue,Navarro,Sue Navarro,2018-01-23,F,Foil,2,emathews@example.net,220-258-5408x37513,U11
49,Christopher,Bell,Christopher Bell,2013-02-23,M,Foil,2,stevenliu@example.org,2665861912,U13
50,Eric,Johnson,Eric Johnson,2014-01-18,M,Foil,2,michelle17@example.org,(833)771-5108,U13
51,Jimmy,Morton,Jimmy Morton,2013-10-22,M,Foil,2,jennifer49@example.net,370-435-1514,U13
52,Cody,Sweeney,Cody Sweeney,2013-02-01,M,Foil,2,jacksonryan@example.org,905.797.3706x38741,U13
53,Nancy,Weeks,Nancy Weeks,2014-06-25,F,Foil,2,robert28@example.com,+1-744-556-5776x474,U13
54,Courtney,Sanders,Courtney Sanders,2013-10-30,F,Foil,2,williamseric@example.com,(503)409-2060,U13
55,Mary,Henry,Mary Henry,2013-12-08,F,Foil,2,ericthomas@example.com,(800)877-4760,U13
56,Joan,Newton,Joan Newton,2014-06-14,F,Foil,2,sjohnson@example.com,346-811-9183,U13
57,Carlos,Price,Carlos Price,2011-12-19,M,Foil,2,fcoleman@example.net,001-920-600-7786x9059,U15
58,Jeffrey,Simmons,Jeffrey Simmons,2011-11-24,M,Foil,2,murphydebra@example.com,001-383-562-0886x046,U15
59,James,Elliott,James Elliott,2012-08-20,M,Foil,2,hansenapril@example.com,306.963.4888x0131,U15
60,Alyssa,Tran,Alyssa Tran,2012-05-04,F,Foil,2,starkanthony@example.org,563-601-7975x431,U15
61,Amy,Walters,Amy Walters,2011-06-17,F,Foil,2,alexanderbeck@example.org,7589667786,U15
62,Margaret,Campos,Margaret Campos,2012-03-10,F,Foil,2,annadillon@example.com,001-665-590-0132x027,U15
63,Andres,Castro,Andres Castro,2010-07-16,M,Foil,2,mcconnelllinda@example.net,2966080694,Cadet
64,David,Acevedo,David Acevedo,2009-04-30,M,Foil,2,jmarquez@example.org,001-507-914-4542,Cadet
65,Anthony,Wong,Anthony Wong,2009-07-01,M,Foil,2,lewisbrandy@example.com,001-925-287-7283x44737,Cadet
66,Michelle,Schwartz,Michelle Schwartz,2009-06-15,F,Foil,2,gibbstravis@example.com,(395)408-8902,Cadet
67,Katie,King,Katie King,2009-11-24,F,Foil,2,mjones@example.net,782.398.9299x0842,Cadet
68,Laura,Herrera,Laura Herrera,2009-12-11,F,Foil,2,jodyevans@example.org,462.879.4317,Cadet
69,Aaron,Ray,Aaron Ray,2008-04-14,M,Foil,2,murphyjacqueline@example.org,435.929.2867x83250,Junior
70,Scott,Sanchez,Scott Sanchez,2008-05-18,M,Foil,2,longstephanie@example.org,407.890.6734x221,Junior
71,Kyle,Luna,Kyle Luna,2006-07-22,M,Foil,2,suzannebowers@example.org,347-527-2766x6961,Junior
72,Sheila,Keith,Sheila Keith,2007-10-26,F,Foil,2,juliegaines@example.net,949-574-3557x69879,Junior
73,Kayla,Miller,Kayla Miller,2008-11-15,F,Foil,2,kylesanchez@example.org,230.832.7820x1204,Junior
74,Natalie,Jones,Natalie Jones,2007-08-24,F,Foil,2,charles05@example.org,763.890.5282,Junior
75,Matthew,Gomez,Matthew Gomez,1968-04-10,M,Foil,2,ucross@example.net,464-327-7584x29611,Senior
76,Vincent,Cole,Vincent Cole,1975-02-09,M,Foil,2,carlosjohnson@example.net,833.937.1162,Senior
77,Adam,Roth,Adam Roth,1998-10-09,M,Foil,2,floresjulia@example.org,(911)901-4355x686,Senior
78,Destiny,Lee,Destiny Lee,1994-10-30,F,Foil,2,frank71@example.net,001-369-942-6886x972,Senior
79,Susan,Perez,Susan Perez,1992-06-22,F,Foil,2,paige89@example.net,001-574-420-3148x103,Senior
80,Donna,Arroyo,Donna Arroyo,2003-10-08,F,Foil,2,masonchristina@example.net,5863735874,Senior
81,John,Williams,John Williams,2016-04-14,M,Epee,3,beverly19@example.org,001-882-515-4436x95608,U11
82,Gregory,Wagner,Gregory Wagner,2017-06-01,M,Epee,3,david51@example.com,690-296-2097,U11
83,Matthew,Norman,Matthew Norman,2016-08-04,M,Epee,3,claytonsara@example.net,001-481-861-3432x7485,U11
84,Taylor,Rose,Taylor Rose,2017-12-23,M,Epee,3,maureenwalker@example.net,001-205-204-6453x39239,U11
85,Lisa,Martin,Lisa Martin,2018-01-02,F,Epee,3,ybartlett@example.org,865.727.6299,U11
86,Nicole,Walker,Nicole Walker,2016-12-14,F,Epee,3,middletonthomas@example.com,+1-841-953-4366x52128,U11
87,Shannon,Webb,Shannon Webb,2016-06-17,F,Epee,3,vanessataylor@example.net,632-592-9980x8871,U11
88,Mrs.,Kimberly Johnston,Mrs. Kimberly Johnston,2017-11-23,F,Epee,3,meagan97@example.net,234-258-3828,U11
89,Robert,Conrad,Robert Conrad,2014-07-25,M,Epee,3,gloria15@example.org,001-402-416-1708x5406,U13
90,Mr.,Jesus Peterson,Mr. Jesus Peterson,2014-05-19,M,Epee,3,darrell28@example.com,3783552658,U13
91,Steven,Johnson,Steven Johnson,2013-07-13,M,Epee,3,emilywright@example.net,603.960.4733x5239,U13
92,Alex,Williams,Alex Williams,2014-05-15,M,Epee,3,andreacervantes@example.com,+1-459-590-4760x8854,U13
93,Sheila,Smith,Sheila Smith,2014-12-09,F,Epee,3,yrobinson@example.org,991.944.5026x8548,U13
94,Michele,Mitchell,Michele Mitchell,2014-05-19,F,Epee,3,kellymichael@example.net,460.637.3170,U13
95,Alyssa,Lee,Alyssa Lee,2013-09-17,F,Epee,3,lisakim@example.net,281-267-3475,U13
96,Amber,Smith,Amber Smith,2014-10-04,F,Epee,3,crystal59@example.com,001-357-973-7285x32745,U13
97,Aaron,Rasmussen,Aaron Rasmussen,2011-01-23,M,Epee,3,knixon@example.org,(641)656-8068,U15
98,Billy,Davis,Billy Davis,2012-05-18,M,Epee,3,herreramichelle@example.com,(860)337-8392x2968,U15
99,William,Rivera,William Rivera,2012-05-16,M,Epee,3,cainedward@example.net,001-705-452-9499x044,U15
100,Jacqueline,Jones,Jacqueline Jones,2011-04-02,F,Epee,3,williamgomez@example.net,424-964-7812x2134,U15
101,Sarah,Thomas,Sarah Thomas,2011-06-06,F,Epee,3,rebekah44@example.net,891-352-6252,U15
102,Brooke,Rodriguez,Brooke Rodriguez,2011-08-22,F,Epee,3,crystalgeorge@example.org,+1-501-868-5234x4693,U15
103,Jeffrey,Ibarra,Jeffrey Ibarra,2010-10-17,M,Epee,3,duncansharon@example.net,(210)553-1037x11521,Cadet
104,Jeremy,Aguirre,Jeremy Aguirre,2009-03-16,M,Epee,3,johnsonjennifer@example.org,333.948.6023x309,Cadet
105,Raymond,Anderson,Raymond Anderson,2009-10-18,M,Epee,3,kathryncurtis@example.com,(515)505-9861x96010,Cadet
106,Emily,Bentley,Emily Bentley,2010-01-02,F,Epee,3,hopkinsvanessa@example.org,+1-281-624-7728x03660,Cadet
107,Carol,Rogers,Carol Rogers,2010-09-16,F,Epee,3,diane45@example.net,+1-472-467-3307x19497,Cadet
108,Ashley,Hernandez,Ashley Hernandez,2009-01-17,F,Epee,3,heatherhunter@example.net,(797)941-7676,Cadet
109,Mike,George,Mike George,2007-12-13,M,Epee,3,knightdouglas@example.net,726-477-0446x53808,Junior
110,Christopher,James,Christopher James,2007-08-30,M,Epee,3,nicholas92@example.org,653-538-3363,Junior
111,Joseph,Velasquez,Joseph Velasquez,2008-10-19,M,Epee,3,jessica53@example.com,001-909-396-3249x854,Junior
112,Cristina,Watson,Cristina Watson,2006-02-10,F,Epee,3,sgarcia@example.org,+1-209-799-5441x43975,Junior
113,Nicole,Morales,Nicole Morales,2008-12-16,F,Epee,3,alvarezjulia@example.net,734-776-4845x18916,Junior
114,Lisa,Mcconnell,Lisa Mcconnell,2007-08-29,F,Epee,3,stefanie36@example.org,609.818.7957,Junior
115,Robert,King,Robert King,1977-06-13,M,Epee,3,heathersmith@example.net,+1-482-254-0138x319,Senior
116,Daniel,Hunt,Daniel Hunt,1994-11-06,M,Epee,3,lawrenceparker@example.org,(386)609-3897,Senior
117,Richard,Kennedy,Richard Kennedy,1988-12-09,M,Epee,3,rfritz@example.org,+1-596-832-9494x784,Senior
118,Tina,Miller,Tina Miller,1993-09-21,F,Epee,3,daniel96@example.com,001-266-941-3585x74802,Senior
119,Catherine,James,Catherine James,1964-07-18,F,Epee,3,grantholly@example.net,430-473-5483,Senior
120,Ashley,Pittman,Ashley Pittman,2001-03-22,F,Epee,3,sroberts@example.org,572-578-1310,Senior
121,Tyler,Horn,Tyler Horn,2015-12-03,M,Sabre,4,pwilson@example.org,707-361-8482,U11
122,Seth,Campbell,Seth Campbell,2017-09-03,M,Sabre,4,kellygutierrez@example.net,+1-922-869-2242x98178,U11
123,Robert,George,Robert George,2015-10-12,M,Sabre,4,chelsea99@example.net,317-678-1372x010,U11
124,Jared,Stanton,Jared Stanton,2015-11-09,M,Sabre,4,uthomas@example.net,+1-472-473-3807x627,U11
125,Leslie,Coleman,Leslie Coleman,2018-05-04,F,Sabre,4,jenny95@example.net,001-248-285-4128x094,U11
126,Beth,Wallace,Beth Wallace,2015-04-04,F,Sabre,4,ericbrown@example.com,(914)479-6118,U11
127,Tracy,Lewis,Tracy Lewis,2016-09-10,F,Sabre,4,jeffrey64@example.org,+1-558-489-1272,U11
128,Rachel,Huynh,Rachel Huynh,2018-01-26,F,Sabre,4,amy82@example.org,689.809.2606x85387,U11
129,Michael,Turner,Michael Turner,2013-03-21,M,Sabre,4,alicia53@example.com,372.592.3961x327,U13
130,Russell,Michael,Russell Michael,2014-12-05,M,Sabre,4,jenniferflowers@example.org,(301)566-4426,U13
131,Travis,Decker,Travis Decker,2013-06-17,M,Sabre,4,coxkimberly@example.net,642-378-2760x91623,U13
132,Christopher,Todd,Christopher Todd,2013-09-24,M,Sabre,4,campbellmatthew@example.org,897-453-1591x64608,U13
133,Stephanie,Anderson,Stephanie Anderson,2014-10-09,F,Sabre,4,fieldsstephanie@example.net,+1-354-542-5602x845,U13
134,Theresa,Sanchez,Theresa Sanchez,2013-06-11,F,Sabre,4,jasonwhite@example.net,523-257-9734x384,U13
135,Holly,Romero,Holly Romero,2013-01-26,F,Sabre,4,hillryan@example.com,464-932-0582,U13
136,Kara,Gonzales,Kara Gonzales,2014-01-27,F,Sabre,4,zmeadows@example.com,+1-643-513-3186x0985,U13
137,Randy,Olsen,Randy Olsen,2011-04-28,M,Sabre,4,erika62@example.org,+1-234-802-5888x46052,U15
138,Joshua,Rodriguez,Joshua Rodriguez,2011-01-02,M,Sabre,4,jaredjohnson@example.com,986-515-0706,U15
139,James,Robinson,James Robinson,2011-05-28,M,Sabre,4,contrerasconnie@example.org,001-548-295-1135x667,U15
140,Heather,Braun,Heather Braun,2011-11-08,F,Sabre,4,michael90@example.net,(510)568-7267x41331,U15
141,Jessica,Herrera,Jessica Herrera,2012-01-27,F,Sabre,4,herberthowell@example.org,758.566.1522x40494,U15
142,Carol,Murphy,Carol Murphy,2011-11-18,F,Sabre,4,trevinorichard@example.org,994.779.5825,U15
143,Joseph,Jones,Joseph Jones,2010-10-21,M,Sabre,4,ashley88@example.net,3747033722,Cadet
144,Adam,Moss,Adam Moss,2009-02-27,M,Sabre,4,zhart@example.net,+1-963-769-0672x722,Cadet
145,Isaac,Moore,Isaac Moore,2010-05-22,M,Sabre,4,xsmith@example.net,(677)370-7177,Cadet
146,Mrs.,Ruth Johnson,Mrs. Ruth Johnson,2009-07-27,F,Sabre,4,abarnett@example.org,7385104300,Cadet
147,Victoria,Serrano,Victoria Serrano,2009-12-19,F,Sabre,4,nwalker@example.org,575.974.6864,Cadet
148,Lisa,Davis,Lisa Davis,2009-12-14,F,Sabre,4,floresstacy@example.org,265-271-1881,Cadet
149,Ronald,Myers,Ronald Myers,2008-06-25,M,Sabre,4,walter34@example.com,725-817-9741x55416,Junior
150,Tyler,Gillespie,Tyler Gillespie,2007-02-13,M,Sabre,4,moodyluke@example.org,(231)750-3460x0473,Junior
151,Tyler,Jackson,Tyler Jackson,2006-07-23,M,Sabre,4,josephwalker@example.org,(556)679-7265,Junior
152,Natasha,Jones,Natasha Jones,2007-09-11,F,Sabre,4,ijames@example.com,4197282203,Junior
153,Karen,Gonzalez,Karen Gonzalez,2007-06-28,F,Sabre,4,ulucas@example.org,+1-344-696-0394x995,Junior
154,Amanda,Garcia,Amanda Garcia,2006-05-29,F,Sabre,4,susan22@example.com,886.533.1417x6387,Junior
155,Christopher,Moore,Christopher Moore,1980-09-29,M,Sabre,4,careystephanie@example.com,(862)454-2433x908,Senior
156,Timothy,Fowler,Timothy Fowler,2004-05-31,M,Sabre,4,vegakevin@example.org,001-606-213-1970x3326,Senior
157,Donald,Brown,Donald Brown,2002-08-07,M,Sabre,4,jfisher@example.com,(463)279-9412x924,Senior
158,Alexandra,Underwood MD,Alexandra Underwood MD,2005-01-29,F,Sabre,4,qcarlson@example.net,+1-586-653-9402x093,Senior
159,Kathleen,Coleman DVM,Kathleen Coleman DVM,1969-02-06,F,Sabre,4,mikaylabowman@example.com,743.275.5068x6416,Senior
160,Amber,Russo,Amber Russo,1984-12-07,F,Sabre,4,christinediaz@example.com,001-984-782-6165x25303,Senior
161,Peter,Haynes,Peter Haynes,2015-08-12,M,Foil,5,aaron98@example.org,(781)673-6355x939,U11
162,Julian,Casey,Julian Casey,2015-06-12,M,Foil,5,schmidtshaun@example.com,920-922-9139x2741,U11
163,Jonathan,Lester,Jonathan Lester,2017-09-11,M,Foil,5,asmith@example.com,(744)561-8660x9640,U11
164,Matthew,Bowman,Matthew Bowman,2015-02-22,M,Foil,5,jonestanya@example.net,730.639.1529,U11
165,Amanda,Reyes,Amanda Reyes,2015-07-28,F,Foil,5,kchan@example.com,001-387-308-3413x64200,U11
166,Sarah,Rogers,Sarah Rogers,2018-09-20,F,Foil,5,harrisdavid@example.net,533-763-3021x58640,U11
167,Elizabeth,Smith,Elizabeth Smith,2016-11-20,F,Foil,5,griffinannette@example.com,8698904222,U11
168,Jenna,Le,Jenna Le,2016-08-01,F,Foil,5,fpayne@example.net,+1-542-732-7329x9936,U11
169,Brandon,Aguilar,Brandon Aguilar,2013-07-27,M,Foil,5,crodriguez@example.net,(958)979-0795x968,U13
170,Randy,Eaton,Randy Eaton,2013-12-22,M,Foil,5,gonzalezandrea@example.com,(410)801-8495x4492,U13
171,Ricky,Quinn,Ricky Quinn,2014-10-16,M,Foil,5,breanna33@example.net,001-947-976-9036x12640,U13
172,Eric,Johnson,Eric Johnson,2013-10-14,M,Foil,5,tuckerbrian@example.net,001-596-494-5406x3303,U13
173,Alicia,Cochran,Alicia Cochran,2014-06-09,F,Foil,5,lcraig@example.com,(791)292-3299,U13
174,Dawn,Lee,Dawn Lee,2014-03-25,F,Foil,5,jonathanthomas@example.net,(824)466-2680x810,U13
175,Elizabeth,Hopkins,Elizabeth Hopkins,2014-03-27,F,Foil,5,bchavez@example.net,696-959-7613,U13
176,Meagan,Sloan,Meagan Sloan,2014-12-01,F,Foil,5,gmcgee@example.com,001-206-773-6039x20685,U13
177,Joseph,Stanley,Joseph Stanley,2011-12-20,M,Foil,5,davidjoyce@example.net,276.885.7060,U15
178,Justin,Madden,Justin Madden,2012-12-07,M,Foil,5,grahammatthew@example.org,2497456774,U15
179,Kyle,Schultz,Kyle Schultz,2012-02-25,M,Foil,5,donaldcamacho@example.net,+1-491-802-7663x65213,U15
180,Jessica,Turner,Jessica Turner,2011-06-21,F,Foil,5,jameswalters@example.org,235-285-6460,U15
181,Monique,Duncan,Monique Duncan,2011-10-21,F,Foil,5,andrew01@example.org,001-369-717-6469,U15
182,Rhonda,George,Rhonda George,2012-08-15,F,Foil,5,cjohnson@example.net,(861)390-6277x429,U15
183,Angel,Edwards,Angel Edwards,2009-09-01,M,Foil,5,jennifer30@example.org,+1-237-581-4836x5322,Cadet
184,Paul,Parks,Paul Parks,2010-12-09,M,Foil,5,hthomas@example.org,884.619.0014x8413,Cadet
185,Justin,Nelson,Justin Nelson,2010-10-15,M,Foil,5,john12@example.net,(347)368-8950,Cadet
186,Elizabeth,Herring,Elizabeth Herring,2009-10-02,F,Foil,5,leonbrian@example.net,(616)650-9891,Cadet
187,Brittany,Hubbard,Brittany Hubbard,2009-10-10,F,Foil,5,rachelharris@example.org,745-506-1046,Cadet
188,Sandra,Valdez,Sandra Valdez,2010-05-17,F,Foil,5,crystal31@example.com,+1-236-251-3987x1705,Cadet
189,Eduardo,Hernandez,Eduardo Hernandez,2006-06-30,M,Foil,5,escobarchristopher@example.net,+1-259-376-6494x6391,Junior
190,Aaron,Mcclure,Aaron Mcclure,2007-04-08,M,Foil,5,andersonandrew@example.com,+1-359-325-4693x9377,Junior
191,Lawrence,Garcia,Lawrence Garcia,2006-11-09,M,Foil,5,emilybradley@example.com,+1-901-708-7181x20908,Junior
192,Linda,Oliver,Linda Oliver,2008-09-07,F,Foil,5,james46@example.net,(871)554-0547x8409,Junior
193,Angela,Johnson,Angela Johnson,2006-01-06,F,Foil,5,hsantos@example.com,460-302-7254x649,Junior
194,Catherine,Newton,Catherine Newton,2006-08-11,F,Foil,5,cadams@example.net,001-609-849-2912,Junior
195,Anthony,Cabrera,Anthony Cabrera,1964-04-15,M,Foil,5,malikmiller@example.net,627-660-2057x35744,Senior
196,Craig,Quinn,Craig Quinn,1972-04-19,M,Foil,5,jenniferklein@example.org,646.898.3801x2577,Senior
197,Mark,Velez,Mark Velez,1966-10-03,M,Foil,5,albertgentry@example.com,517-829-8865,Senior
198,Karen,Sanders,Karen Sanders,1990-07-12,F,Foil,5,nancyrowland@example.com,258-809-6545x150,Senior
199,Whitney,Clark,Whitney Clark,1998-06-11,F,Foil,5,williamnicholson@example.com,393.881.5759x191,Senior
200,Tammy,Gonzalez,Tammy Gonzalez,1977-09-17,F,Foil,5,frankbrown@example.net,+1-588-492-1975,Senior
201,Timothy,Clark,Timothy Clark,2015-03-12,M,Epee,6,qquinn@example.net,686-582-7482x513,U11
202,Russell,Neal,Russell Neal,2018-01-02,M,Epee,6,kimberly62@example.net,(626)519-9146,U11
203,William,Espinoza MD,William Espinoza MD,2017-10-12,M,Epee,6,katherine74@example.com,001-594-854-0935,U11
204,Keith,Gomez,Keith Gomez,2016-09-24,M,Epee,6,millertara@example.net,(740)857-7048x908,U11
205,Susan,Brown,Susan Brown,2017-09-15,F,Epee,6,cwilkerson@example.net,206-954-2170,U11
206,Jennifer,Gomez,Jennifer Gomez,2015-11-29,F,Epee,6,scott63@example.org,(351)405-0653,U11
207,Kimberly,Lee,Kimberly Lee,2016-07-15,F,Epee,6,bishopdeanna@example.net,(322)717-7233,U11
208,Jennifer,Osborne,Jennifer Osborne,2017-11-12,F,Epee,6,vicki22@example.net,001-496-665-2142,U11
209,Gregory,Welch,Gregory Welch,2013-06-15,M,Epee,6,melaniedouglas@example.net,936.238.0429,U13
210,Travis,Savage,Travis Savage,2014-08-17,M,Epee,6,masonpaul@example.net,913.392.0032x8560,U13
211,Colton,Love,Colton Love,2014-03-14,M,Epee,6,ashleylowe@example.net,7676212176,U13
212,Ronald,White,Ronald White,2013-03-27,M,Epee,6,bryan38@example.org,+1-525-683-6502,U13
213,Sarah,Rodgers,Sarah Rodgers,2014-04-09,F,Epee,6,randy58@example.org,(271)560-2885x540,U13
214,Angela,Myers,Angela Myers,2014-07-02,F,Epee,6,xlittle@example.org,(885)399-3764x1737,U13
215,Crystal,Fitzgerald,Crystal Fitzgerald,2013-03-16,F,Epee,6,jorgedecker@example.net,(601)976-6088x4775,U13
216,Ashley,Sexton,Ashley Sexton,2014-06-23,F,Epee,6,allisonmichelle@example.net,2834890534,U13
217,Chris,Grant,Chris Grant,2010-12-18,M,Epee,6,qgraham@example.com,299-555-9880x32188,U15
218,Andrew,Wong,Andrew Wong,2011-04-17,M,Epee,6,jhayes@example.net,488-359-2585,U15
219,David,Anderson,David Anderson,2012-11-01,M,Epee,6,madelinepadilla@example.org,262.369.3533x2747,U15
220,Dana,Crawford,Dana Crawford,2011-07-06,F,Epee,6,andrewmiller@example.org,001-529-754-0934x86250,U15
221,Haley,Greer,Haley Greer,2012-10-19,F,Epee,6,bruce17@example.com,385-878-4380x3229,U15
222,Stephanie,Melton,Stephanie Melton,2011-03-28,F,Epee,6,dcook@example.com,(846)412-0905,U15
223,Brian,Ortiz,Brian Ortiz,2009-12-24,M,Epee,6,noah32@example.net,251.626.7051,Cadet
224,Bruce,Yu,Bruce Yu,2009-09-15,M,Epee,6,joseph32@example.net,650.200.8211x94580,Cadet
225,Herbert,Smith,Herbert Smith,2010-03-24,M,Epee,6,omiller@example.net,(571)890-0053x9328,Cadet
226,Kelly,Brown,Kelly Brown,2009-09-26,F,Epee,6,leejennifer@example.com,576-780-3217,Cadet
227,Rebecca,Myers,Rebecca Myers,2009-07-20,F,Epee,6,heathertran@example.net,+1-921-865-4726,Cadet
228,Angela,Adams,Angela Adams,2009-03-30,F,Epee,6,butlernicholas@example.com,568.613.9938,Cadet
229,Daniel,Garcia,Daniel Garcia,2007-10-09,M,Epee,6,hoffmansarah@example.com,214-985-4709,Junior
230,Mark,Mclean,Mark Mclean,2007-07-29,M,Epee,6,olsondavid@example.org,001-335-872-9749x92378,Junior
231,Bryan,Lopez,Bryan Lopez,2008-12-03,M,Epee,6,kimberlynixon@example.com,(486)589-9011x9109,Junior
232,Amber,Vaughn,Amber Vaughn,2008-10-06,F,Epee,6,fmartin@example.org,001-682-233-2270x7112,Junior
233,Gwendolyn,Johnson,Gwendolyn Johnson,2006-12-06,F,Epee,6,uramirez@example.com,7992026076,Junior
234,Monica,Anderson,Monica Anderson,2008-08-02,F,Epee,6,christopherlynch@example.com,3256915333,Junior
235,Luis,Miller,Luis Miller,1983-10-20,M,Epee,6,ystephens@example.com,001-924-981-9347x60085,Senior
236,David,White,David White,1996-07-15,M,Epee,6,garyholloway@example.net,+1-677-246-8093x988,Senior
237,Matthew,Burgess,Matthew Burgess,1991-08-27,M,Epee,6,myersjason@example.org,+1-441-638-4992x13545,Senior
238,Jacqueline,Ramirez,Jacqueline Ramirez,1971-08-16,F,Epee,6,alexanderethan@example.org,(221)605-9853x14555,Senior
239,Kathy,Cox,Kathy Cox,1967-05-11,F,Epee,6,tharvey@example.com,949.325.4065x7469,Senior
